AÑO_MES,Periodo,Nivel,Entidad,Partido,Fecha
2013-01,2013–2015,Gobierno Central,España,PP,2013-01-01
2013-02,2013–2015,Capital de Provincia,Valencia,PP,2013-02-01
2013-03,2013–2015,Capital de Provincia,Córdoba,PSOE,2013-03-01
2013-04,2013–2015,Capital de Provincia,Almería,PP,2013-04-01
2013-05,2013–2015,Capital de Provincia,Santander,PSOE,2013-05-01
2013-06,2013–2015,Capital de Provincia,Valladolid,PP,2013-06-01
2013-07,2013–2015,Capital de Provincia,Pontevedra,PP,2013-07-01
2013-08,2013–2015,Comunidad Autónoma,La Rioja,PP,2013-08-01
2013-09,2013–2015,Capital de Provincia,Logroño,PP,2013-09-01
2013-10,2013–2015,Capital de Provincia,Zamora,IU,2013-10-01
2013-11,2013–2015,Capital de Provincia,Zaragoza,PP,2013-11-01
2013-12,2013–2015,Comunidad Autónoma,Asturias,PSOE,2013-12-01
2014-01,2013–2015,Capital de Provincia,Pamplona,UPN,2014-01-01
2014-02,2013–2015,Comunidad Autónoma,Andalucía,PSOE,2014-02-01
2014-03,2013–2015,Capital de Provincia,Girona,CiU,2014-03-01
2014-04,2013–2015,Comunidad Autónoma,Extremadura,PSOE,2014-04-01
2014-05,2013–2015,Comunidad Autónoma,Islas Baleares,PSOE,2014-05-01
2014-06,2013–2015,Comunidad Autónoma,Andalucía,PSOE,2014-06-01
2014-07,2013–2015,Capital de Provincia,Bilbao,PNV,2014-07-01
2014-08,2013–2015,Capital de Provincia,Guadalajara,PP,2014-08-01
2014-09,2013–2015,Capital de Provincia,Jaén,PP,2014-09-01
2014-10,2013–2015,Comunidad Autónoma,Cataluña,CiU,2014-10-01
2014-11,2013–2015,Comunidad Autónoma,Canarias,CC,2014-11-01
2014-12,2013–2015,Capital de Provincia,Huelva,PP,2014-12-01
2015-01,2013–2015,Capital de Provincia,Huesca,PP,2015-01-01
2015-02,2013–2015,Comunidad Autónoma,Asturias,PSOE,2015-02-01
2015-03,2013–2015,Capital de Provincia,Pamplona,UPN,2015-03-01
2015-04,2015–2019,Capital de Provincia,Ciudad Real,PSOE,2015-04-01
2015-05,2015–2019,Capital de Provincia,Cáceres,PP / PSOE,2015-05-01
2015-06,2013–2015,Capital de Provincia,Burgos,PP,2015-06-01
2015-07,2013–2015,Capital de Provincia,Bilbao,PNV,2015-07-01
2015-08,2015–2019,Capital de Provincia,Jaén,PSOE,2015-08-01
2015-09,2015–2019,Capital de Provincia,Ciudad Real,PSOE,2015-09-01
2015-10,2015–2019,Capital de Provincia,Segovia,PP / PSOE,2015-10-01
